Milliseconds,Pressure,Temperature,NH3,CO,NO2
499,101796.00,29.30,10,19,19
820,101791.00,29.30,12,19,19
1144,101792.00,29.30,15,20,20
1469,101791.00,29.30,17,20,20
1789,101789.00,29.30,19,21,21
2111,101789.00,29.30,22,21,21
2432,101784.00,29.30,24,22,22
2753,101780.00,29.30,26,22,22
3074,101780.00,29.30,29,23,23
3394,101782.00,29.30,31,23,23
3716,101784.00,29.30,33,24,24
4036,101785.00,29.30,35,24,25
4358,101787.00,29.30,37,25,25
4678,101781.00,29.30,39,26,26
5000,101786.00,29.30,41,26,26
5320,101785.00,29.30,43,27,26
5642,101785.00,29.30,45,27,27
5965,101786.00,29.30,46,28,28
6286,101786.00,29.30,48,28,28
6607,101783.00,29.30,50,28,28
6928,101786.00,29.30,51,29,29
7248,101784.00,29.30,53,29,29
7570,101781.00,29.30,54,30,30
7890,101786.00,29.30,56,30,30
8211,101792.00,29.40,57,31,31
8532,101796.00,29.40,59,31,31
8853,101799.00,29.40,60,31,31
9174,101799.00,29.40,62,32,32
9495,101796.00,29.40,63,32,32
9816,101800.00,29.40,64,32,32
10136,101793.00,29.40,65,33,33
10458,101798.00,29.40,67,33,33
10778,101798.00,29.40,68,33,33
11109,101795.00,29.40,69,34,34
11429,101797.00,29.40,70,34,34
11750,101794.00,29.40,71,34,34
12071,101795.00,29.40,73,35,35
12392,101795.00,29.40,74,35,35
12712,101796.00,29.40,75,35,35
13034,101796.00,29.40,76,36,36
13355,101795.00,29.40,77,36,36
13675,101795.00,29.40,78,36,36
13997,101794.00,29.40,79,36,36
14317,101798.00,29.40,80,37,37
14638,101794.00,29.40,81,37,37
14959,101796.00,29.40,82,37,37
15280,101791.00,29.40,83,38,38
15601,101793.00,29.40,83,38,38
15922,101793.00,29.40,84,38,38
16245,101794.00,29.40,85,38,38
16567,101794.00,29.40,86,39,39
16887,101792.00,29.40,87,39,39
17208,101796.00,29.40,88,39,39
17529,101798.00,29.40,88,39,39
17850,101787.00,29.40,89,39,39
18171,101787.00,29.40,90,40,40
18492,101785.00,29.30,91,40,40
18813,101781.00,29.30,92,40,40
19134,101784.00,29.40,92,40,40
19456,101788.00,29.40,93,40,40
19776,101792.00,29.40,94,41,41
20098,101797.00,29.40,94,41,41
20418,101797.00,29.40,95,41,41
20743,101796.00,29.40,96,41,41
21067,101797.00,29.40,96,41,41
21391,101795.00,29.40,97,41,41
21711,101789.00,29.40,98,42,42
22033,101794.00,29.40,98,42,42
22353,101788.00,29.40,99,42,42
22675,101791.00,29.40,100,42,42
22995,101789.00,29.40,100,42,42
23317,101789.00,29.40,101,42,42
23638,101789.00,29.40,101,43,43
23959,101791.00,29.40,102,43,43
24281,101792.00,29.40,102,43,43
24601,101790.00,29.40,103,43,43
24923,101790.00,29.40,103,43,43
25243,101790.00,29.40,104,43,43
25565,101790.00,29.40,104,43,43
25885,101791.00,29.40,105,44,44
26207,101788.00,29.40,106,44,44
26530,101791.00,29.40,106,44,44
26852,101794.00,29.40,106,44,44
27173,101793.00,29.40,107,44,44
27494,101786.00,29.40,107,44,44
27815,101785.00,29.40,108,44,44
28136,101790.00,29.40,108,45,45
28457,101788.00,29.40,109,45,45
28778,101789.00,29.40,109,45,45
29100,101791.00,29.40,110,45,45
29421,101792.00,29.40,110,45,45
29742,101792.00,29.40,111,45,45
30063,101787.00,29.40,111,45,45
30388,101798.00,29.40,111,45,45
30711,101797.00,29.40,112,46,46
31033,101801.00,29.40,112,46,46
31353,101795.00,29.40,112,46,46
31678,101799.00,29.40,113,46,46
31998,101798.00,29.40,113,46,46
32320,101811.00,29.40,113,46,46
32641,101800.00,29.40,114,46,46
32962,101796.00,29.40,114,46,46
33284,101796.00,29.40,114,46,46
33604,101798.00,29.40,115,46,46
33926,101795.00,29.40,115,47,47
34246,101794.00,29.40,115,47,47
34568,101799.00,29.40,116,47,47
34888,101795.00,29.40,116,47,47
35210,101794.00,29.40,116,47,47
35531,101799.00,29.40,117,47,47
35852,101796.00,29.40,117,47,47
36173,101793.00,29.40,117,47,47
36497,101792.00,29.40,118,47,47
36818,101791.00,29.40,118,47,47
37139,101791.00,29.40,118,47,47
37460,101790.00,29.40,119,48,48
37781,101788.00,29.40,119,48,48
38103,101790.00,29.40,119,48,48
38424,101797.00,29.40,119,48,48
38745,101792.00,29.40,120,48,48
39066,101794.00,29.40,120,48,48
39387,101796.00,29.40,120,48,48
39708,101787.00,29.40,120,48,48
40033,101788.00,29.40,121,48,48
40356,101789.00,29.40,121,48,48
40678,101787.00,29.40,121,48,48
40999,101788.00,29.40,121,48,48
41320,101791.00,29.40,122,48,49
41644,101791.00,29.40,122,49,49
41965,101789.00,29.40,122,49,49
42287,101790.00,29.40,122,49,49
42607,101791.00,29.40,122,49,49
42929,101792.00,29.40,123,49,49
43249,101791.00,29.40,123,49,49
43571,101791.00,29.40,123,49,49
43892,101792.00,29.40,123,49,49
44213,101787.00,29.40,124,49,49
44534,101790.00,29.40,124,49,49
44855,101793.00,29.40,124,49,49
45176,101797.00,29.50,124,49,49
45497,101790.00,29.40,124,49,49
45818,101793.00,29.50,124,50,50
46140,101794.00,29.50,125,50,50
46464,101793.00,29.50,125,50,50
46784,101794.00,29.50,125,50,50
47106,101794.00,29.50,125,50,50
47426,101798.00,29.50,125,50,50
47748,101796.00,29.50,125,50,50
48068,101791.00,29.50,126,50,50
48390,101792.00,29.50,126,50,50
48710,101794.00,29.50,126,50,50
49032,101791.00,29.50,126,50,50
49352,101793.00,29.50,126,50,50
49677,101792.00,29.50,126,50,50
50001,101796.00,29.50,127,50,50
50322,101797.00,29.50,127,50,50
50643,101795.00,29.50,127,51,51
50964,101801.00,29.50,127,50,51
51284,101791.00,29.50,127,51,51
51609,101798.00,29.50,127,51,51
51930,101797.00,29.50,127,51,51
52251,101800.00,29.50,127,51,51
52572,101797.00,29.50,128,51,51
52892,101795.00,29.50,128,51,51
53214,101794.00,29.50,128,51,51
53534,101793.00,29.50,128,51,51
53856,101794.00,29.50,128,51,51
54176,101794.00,29.50,128,51,51
54498,101794.00,29.50,128,51,51
54818,101793.00,29.50,128,51,51
55140,101793.00,29.50,129,51,51
55460,101794.00,29.50,129,51,51
55782,101788.00,29.50,129,51,51
56102,101796.00,29.50,129,51,51
56426,101795.00,29.50,129,51,52
56748,101795.00,29.50,129,51,52
57068,101794.00,29.50,130,51,52
57390,101793.00,29.50,130,52,52
57711,101792.00,29.50,130,52,52
58032,101792.00,29.50,130,52,52
58353,101788.00,29.50,130,52,52
58674,101791.00,29.50,130,52,52
58995,101792.00,29.50,130,52,52
59316,101793.00,29.50,130,52,52
59643,101794.00,29.50,130,52,52
59965,101793.00,29.50,131,52,52
60286,101790.00,29.50,131,52,52
60607,101788.00,29.50,131,52,52
60929,101790.00,29.50,131,52,52
61250,101796.00,29.50,131,52,52
61574,101794.00,29.50,131,52,52
61895,101789.00,29.50,131,52,52
62216,101793.00,29.50,131,52,52
62537,101793.00,29.50,132,52,52
62858,101789.00,29.50,132,52,52
63179,101788.00,29.50,132,53,52
63500,101789.00,29.50,132,53,53
63821,101790.00,29.50,132,53,53
64143,101792.00,29.60,132,53,53
64463,101792.00,29.60,132,53,53
64785,101798.00,29.60,132,53,53
65105,101801.00,29.60,132,53,53
65427,101798.00,29.60,132,53,53
65748,101801.00,29.60,132,53,53
66069,101795.00,29.60,132,53,53
66393,101795.00,29.60,132,53,53
66714,101794.00,29.60,132,53,53
67036,101795.00,29.60,133,53,53
67356,101794.00,29.60,132,53,53
67678,101793.00,29.60,133,53,53
67998,101797.00,29.60,133,53,53
68320,101792.00,29.60,133,53,53
68640,101794.00,29.60,133,53,53
68962,101799.00,29.60,133,53,53
69288,101798.00,29.60,133,53,53
69611,101797.00,29.60,133,53,53
69932,101797.00,29.60,133,53,53
70253,101800.00,29.60,133,53,53
70574,101795.00,29.60,133,53,54
70895,101796.00,29.60,133,54,54
71217,101797.00,29.60,133,54,54
71540,101791.00,29.60,133,54,54
71861,101795.00,29.60,133,54,54
72182,101790.00,29.60,133,54,54
72504,101789.00,29.60,134,54,54
72824,101790.00,29.60,133,54,54
73146,101798.00,29.60,134,54,54
73466,101796.00,29.60,134,54,54
73788,101796.00,29.60,134,54,54
74108,101799.00,29.60,134,54,54
74430,101797.00,29.60,134,54,54
74752,101796.00,29.60,134,54,54
75072,101794.00,29.60,134,54,54
75394,101795.00,29.60,134,54,54
75714,101798.00,29.60,134,54,54
76036,101797.00,29.60,134,54,54
76359,101798.00,29.60,134,54,54
76681,101793.00,29.60,134,54,54
77001,101794.00,29.60,134,54,54
77323,101803.00,29.60,134,54,54
77643,101802.00,29.70,134,54,54
77965,101802.00,29.70,134,54,54
78286,101804.00,29.70,134,54,54
78607,101801.00,29.70,134,54,54
78935,101801.00,29.70,134,54,54
79256,101799.00,29.70,134,54,54
79577,101797.00,29.70,134,54,54
79898,101801.00,29.70,134,54,54
80220,101798.00,29.70,134,54,55
80540,101798.00,29.70,134,54,55
80862,101797.00,29.70,134,55,55
81182,101798.00,29.70,134,55,55
81507,101796.00,29.70,134,55,55
81827,101794.00,29.70,134,55,55
82149,101794.00,29.70,135,55,55
82469,101792.00,29.70,134,55,55
82791,101791.00,29.70,135,55,55
83112,101788.00,29.70,134,55,55
83433,101792.00,29.70,135,55,55
83755,101787.00,29.70,135,55,55
84075,101799.00,29.70,134,55,55
84397,101798.00,29.70,135,55,55
84717,101797.00,29.70,135,55,55
85039,101796.00,29.70,135,55,55
85360,101793.00,29.70,135,55,55
85681,101804.00,29.70,135,55,55
86002,101797.00,29.70,135,55,55
86326,101800.00,29.70,135,55,55
86646,101799.00,29.70,135,55,55
86968,101800.00,29.70,135,55,55
87288,101800.00,29.70,135,55,55
87610,101794.00,29.70,135,55,55
87930,101799.00,29.70,135,55,55
88252,101800.00,29.70,135,55,55
88579,101799.00,29.70,135,55,55
88900,101796.00,29.70,135,55,55
89222,101796.00,29.70,135,55,55
89542,101793.00,29.70,135,55,55
89863,101795.00,29.70,135,55,55
90184,101794.00,29.70,135,55,55
90505,101796.00,29.70,135,55,55
90826,101794.00,29.70,135,55,55
91147,101799.00,29.70,135,55,55
91471,101795.00,29.70,135,55,55
91792,101797.00,29.70,135,55,55
92112,101791.00,29.70,135,55,56
92434,101794.00,29.70,135,55,55
92754,101796.00,29.70,135,56,56
93076,101795.00,29.70,135,56,56
93396,101796.00,29.70,135,56,56
93718,101795.00,29.70,135,56,56
94039,101789.00,29.70,135,56,56
94360,101792.00,29.80,135,56,56
94681,101791.00,29.80,135,56,56
95002,101790.00,29.80,135,56,56
95323,101792.00,29.80,135,56,56
95644,101792.00,29.80,135,56,56
95965,101797.00,29.80,135,56,56
96288,101799.00,29.80,135,56,56
96610,101800.00,29.80,135,56,56
96930,101798.00,29.80,135,56,56
97252,101795.00,29.80,135,56,56
97573,101796.00,29.80,135,56,56
97894,101797.00,29.80,135,56,56
98219,101792.00,29.80,135,56,56
98543,101796.00,29.80,135,56,56
98864,101791.00,29.80,135,56,56
99185,101795.00,29.80,135,56,56
99506,101792.00,29.80,135,56,56
99827,101799.00,29.80,135,56,56
100148,101797.00,29.80,135,56,56
100469,101792.00,29.80,135,56,56
100791,101795.00,29.80,135,56,56
101111,101800.00,29.80,135,56,56
101436,101799.00,29.80,135,56,56
101756,101794.00,29.80,135,56,56
