millis,Pres,Temp,NH3,CO,NO2
677,101191,21.3,5,24,25
997,101196,21.3,6,74,22
1317,101191,21.3,6,174,20
1638,101199,21.3,7,292,18
millis,Pres,Temp,NH3,CO,NO2
655,101194,21.4,14,709,15
975,101194,21.4,14,731,15
1295,101196,21.4,15,746,15
1616,101195,21.4,16,758,15
1937,101198,21.4,17,768,15
2257,101194,21.4,18,775,15
2578,101193,21.4,19,782,16
2898,101197,21.4,20,788,16
millis,Pres,Temp,NH3,CO,NO2
1993,101193,21.5,32,837,18
2314,101192,21.5,33,838,18
2636,101194,21.6,34,841,18
2958,101189,21.6,35,844,18
3278,101194,21.6,36,847,18
3599,101191,21.6,37,849,18
3919,101193,21.6,38,851,19
4240,101193,21.6,39,853,19
4560,101195,21.6,40,855,19
4881,101192,21.6,41,857,19
5202,101192,21.6,42,858,19
5523,101191,21.6,43,859,19
5843,101195,21.6,44,860,19
6164,101194,21.6,45,861,20
6484,101194,21.6,46,862,20
6805,101193,21.6,47,863,20
7127,101194,21.6,48,864,20
7447,101197,21.6,48,865,20
7771,101192,21.6,49,866,20
8091,101195,21.6,50,867,20
8412,101192,21.6,51,867,20
8732,101203,21.6,52,868,20
9056,101195,21.6,53,870,20
9377,101198,21.6,54,870,21
9698,101198,21.6,54,871,21
10018,101199,21.6,55,872,21
10339,101198,21.7,56,873,21
10660,101198,21.7,57,873,21
10981,101197,21.7,58,874,21
11301,101198,21.7,58,876,21
11622,101198,21.7,59,876,21
11942,101197,21.7,60,876,21
12264,101196,21.7,61,877,21
12584,101195,21.7,62,877,21
12908,101199,21.7,63,880,22
13229,101198,21.7,64,880,22
13550,101196,21.7,64,881,22
13871,101195,21.7,66,880,22
14191,101196,21.7,66,880,22
14512,101194,21.7,67,881,22
14833,101192,21.7,68,881,22
millis,Pres,Temp,NH3,CO,NO2
2189,101180,22,113,927,30
2509,101178,22,119,929,30
2830,101184,22,124,931,30
3153,101181,22,128,932,30
3475,101176,22,133,933,31
3795,101176,22,137,935,31
